type,left,right,similarity,decision,reason
Company,Technology Innovative Institute,Samsung Electronics Co. Ltd.,0.3515365719795227,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Accenture,Aeris,0.3455830216407776,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aeris,Intel,0.3430689573287964,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,OpenAI,Microsoft,0.3410861492156982,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,OpenAI,NVIDIA,0.3402437567710876,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,OpenAI,ServiceNow,0.3383896946907043,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Adobe,Samsung,0.3364178836345672,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Dell NativeEdge,chip-stacking tech,0.3334037363529205,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Dell NativeEdge,Microsoft Azure,0.3330269455909729,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Falcon LLM,chips,0.3308934569358825,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Sensor OLED Display,FP2 Presence Sensor,0.3260649442672729,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Ericsson,Aeris,0.3251855373382568,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,IoT Accelerator,cloud data storage and processing,0.3209100365638733,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Associated Press,Microsoft,0.3196642994880676,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,H2O.ai,IBM,0.3142072558403015,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,IoT Accelerator,cloud computing,0.3141706585884094,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Meta,Samsung,0.3117728233337402,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,OpenAI,Intel,0.311136394739151,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,NativeEdge,ChatGPT,0.309931606054306,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Generative AI features,Large Language Models,0.3078533411026001,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,H2O.ai,Hewlett Packard Enterprise,0.3069733381271362,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aeris Communications,Associated Press,0.3063936829566955,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,H2O.ai,AMD,0.3059584498405456,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Now Assist for Virtual Agent,ServiceNow Generative AI Controller,0.3013910949230194,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Associated Press,Dell Technologies Inc.,0.2944157719612121,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,ChatGPT,Microsoft Copilot for Windows,0.2920252084732055,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,chips,SmartThings,0.2899335026741028,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aqara,Accenture,0.2890152931213379,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Associated Press,IBM,0.2877373695373535,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aeris Communications,ServiceNow,0.2853354215621948,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aeris Communications,Technology Innovative Institute,0.2848280072212219,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,analog and logic semiconductor technologies,chips,0.2812399268150329,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Dell NativeEdge,analog and logic semiconductor technologies,0.2793246209621429,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Claude 2,Copilot,0.2777268886566162,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,KPMG,Google Cloud,0.2713739275932312,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Ericsson,OpenAI,0.2692146301269531,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,KPMG,Meta,0.2678284049034118,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aqara,Dell,0.267652690410614,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Ericsson,ServiceNow,0.2598223388195038,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Snowflake,Accenture,0.2592839002609253,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Ericsson,Meta,0.2564179301261902,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,FP2 Presence Sensor,organic photodiode,0.2505251765251159,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Code Llama,Copilot,0.2500198781490326,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,KPMG,IBM,0.2486623227596283,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,analog and logic semiconductor technologies,organic photodiode,0.2485579401254654,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Llama 2,Claude 2,0.2480432987213134,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Falcon LLM,Copilot,0.2472312450408935,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,KPMG,Microsoft,0.241653025150299,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,FP2 Presence Sensor,IoT Accelerator,0.2416185736656189,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dubai Electricity and Water Authority,Aeris,0.2344899922609329,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Axis Security,IBM,0.2310673892498016,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,ChatGPT,Connected Vehicle Cloud,0.2183227241039276,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Now Assist,Copilot,0.2164755165576934,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Axis Security,Microsoft,0.2142959535121917,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Claude 2,Now Assist for Virtual Agent,0.2125802338123321,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Now Assist,SmartThings,0.2018837928771972,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Open-source language model,Generative AI features,0.2013372480869293,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Axis Security,Salesforce,0.1841402649879455,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Sensor OLED Display,SmartThings,0.1766641736030578,REJECT_GUARD,COSINE_BELOW_THRESHOLD
